groff 1.22.3-5
grub 1:2.02.beta2-6
gsettings-desktop-schemas 3.18.1-1
gsfonts 20150811-1
gsl 1.16-1
gsm 1.0.14-1
gst-libav 1.6.2-1
gst-plugins-bad 1.6.2-3
gst-plugins-base 1.6.2-1
gst-plugins-base-libs 1.6.2-1
gst-plugins-good 1.6.2-1
gst-plugins-ugly 1.6.2-1
gstreamer 1.6.2-1
gstreamer0.10 0.10.36-4
gstreamer0.10-bad 0.10.23-12
gstreamer0.10-bad-plugins 0.10.23-12
gstreamer0.10-base 0.10.36-3
gstreamer0.10-base-plugins 0.10.36-3
gstreamer0.10-ffmpeg 0.10.13-2
gstreamer0.10-good 0.10.31-10
gstreamer0.10-good-plugins 0.10.31-10
gtk-engine-murrine 0.98.2-2
gtk-engine-unico 1.0.2-6
gtk-engines 2.21.0-2
gtk-sharp-2 2.12.29-1
gtk-theme-evolve 2013.10.30-1
gtk-theme-numix-osx 2.ea4c2bd-1
gtk-update-icon-cache 3.18.6-2
gtk-vnc 0.5.4-1
gtk-xfce-engine 2.10.1-1
gtk2 2.24.29-1
gtk3 3.18.6-2
gtkdialog 0.8.3-2
gtkhotkey 0.2.1-9
gtkmm 2.24.4-2
gtkmm3 3.18.0-2
gtksourceview2 2.10.5-3
gtksourceview3 3.18.2-1
gtksourceviewmm 1:3.18.0-2
gtkspell 2.0.16-3
guile 2.0.11-3
gvfs 1.26.2-1
gvfs-mtp 1.26.2-1
gvim 7.4.1089-1
gzip 1.6-1
harfbuzz 1.1.3-1
harfbuzz-icu 1.1.3-1
haveged 1.9.1-2
hicolor-icon-theme 0.15-1
hostapd 2.5-1
hspell 1.3-1
htop 1.0.3-3
http-parser 2.6.0-1
hunspell 1.3.3-3
hwids 20150717-1
hyphen 2.8.8-1
i7z 0.27.2.git1-3
iana-etc 20151016-1
icon-naming-utils 0.8.90-3
icu 56.1-2
idnkit 1.0-3
ilmbase 2.2.0-2
imagemagick 6.9.3.0-1
imap 2007f-5
imlib2 1.4.7-1
inetutils 1.9.4-2
inkscape 0.91-15
inputproto 2.3.1-1
intel-ucode 20150121-1
intltool 0.51.0-1
iotop 0.6-4
iproute2 4.1.1-1
iptables 1.4.21-3
iputils 20140519.fad11dc-1
isl 0.15-1
iso-codes 3.64-1
iw 4.1-1
jack 0.124.1-6
jansson 2.7-1
jasper 1.900.1-14
java-commons-daemon 1.0.15-2
